Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-799.938,-804.179,-2617,-2112,-706.123
Other investing activites,-,-,-0.001,-,-
Net cash used for investing activites,-799.938,-804.179,-2617,-2112,-706.123
Common stock issued,-,-,3355,5379,1065
Common stock repurchased,-,-,-172.33,-173.705,-2.825
Net cash used privided by (used for) financing activities,-,-,3183,5205,1062
Net change in cash,-1198,-1227,-3.091,2616,-176.599
Cash at beginning of period,2184,2981,2984,367.846,544.445
Cash at end of period,985.811,1754,2981,2984,367.846
Capital Expenditure,-799.938,-804.179,-2617,-2112,-706.123
Free Cash Flow,-1198,-1227,-3186,-2589,-1238
