Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2492,-2492,-2090,-1586,-89.497
Purchases of investments,-,-,-,-,32
Sales/Maturities of investments,2750,2750,7.839,-,-
Other investing activites,-,-,121.661,-,-
Net cash used for investing activites,1415,1415,-1803,-1047,55.887
Debt repayment,-750,-750,-1500,-,-5005
Common stock issued,6837,6837,5730,2938,14205
Common stock repurchased,-431.792,-431.792,-688.655,-76.624,-652.455
Other financing activites,-28.819,-28.819,-,-,-
Net cash used privided by (used for) financing activities,6377,6377,4942,5862,8547
Net change in cash,3925,3925,-2065,1152,63.586
Cash at beginning of period,432.228,432.228,2632,1561,1394
Cash at end of period,4313,4313,432.228,2632,1561
Capital Expenditure,-2492,-2492,-2090,-1586,-89.497
Free Cash Flow,-6358,-6358,-7294,-5248,-8629
