Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,12700,12700,27000,24400,15800
Depreciation & amortization,9000,9000,4700,1100,1600
Stock based compensation,100,100,1400,2700,100
Change in working capital,-2200,-2200,-900,-5400,9400
Other working capital,11900,11900,27200,23100,26900
Other non-cash items,4100,4100,3200,2300,300
Net cash provided by operating activites,21900,21900,35500,25400,28200
Investments in property plant and equipment,-10000,-10000,-8300,-2300,-1300
Acquisitions net,-7400,-7400,-46900,-2500,-
Net cash used for investing activites,-16000,-16000,-53900,-4800,-1200
Net change in cash,-500,-500,-12600,6100,14000
Cash at beginning of period,11900,11900,24500,18400,4400
Cash at end of period,11400,11400,11900,24500,18400
Operating Cash Flow,21900,21900,35500,25400,28200
Capital Expenditure,-10000,-10000,-8300,-2300,-1300
Free Cash Flow,11900,11900,27200,23100,26900
