Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,21167000,18784000,16914000,19210000
Depreciation & amortization,-,2209000,2011000,1825000
Change in working capital,-,-36539000,-2955000,15711000
Inventory,-,-2994000,1275000,2480000
Other working capital,-,-36925000,-4794000,29584000
Other non-cash items,-,544000,1310000,1674000
Net cash provided by operating activites,-,-15882000,13570000,40763000
Investments in property plant and equipment,-,-21043000,-18364000,-11179000
Acquisitions net,-,-,-,-861000
Purchases of investments,-,-4056000,-2112000,-3448000
Sales/Maturities of investments,-,1982000,2204000,2922000
Other investing activites,-,-220000,-15000,-55000
Net cash used for investing activites,-,-23633000,-15422000,-13945000
Net change in cash,-,-1000000,-6527000,11122000
Cash at beginning of period,-,32499000,39026000,27903000
Cash at end of period,-,31473000,32499000,39026000
Operating Cash Flow,-,-15882000,13570000,40763000
Capital Expenditure,-,-21043000,-18364000,-11179000
Free Cash Flow,-,-36925000,-4794000,29584000
