Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-31.188,-29.475,-7.554,-33.904,-96.194
Acquisitions net,-,-,-4.578,-,-64.698
Net cash used for investing activites,-30.876,-29.475,-12.132,66.096,-60.892
Debt repayment,-50,-89.239,-,-150,-50
Common stock issued,1137,198.514,1040,1328,873.189
Common stock repurchased,-28.02,-16.537,-,-,-
Other financing activites,-,-,-,70,-
Net cash used privided by (used for) financing activities,1269,1494,1040,1249,973.189
Net change in cash,-527.677,70.364,2.569,231.181,-35.883
Cash at beginning of period,949.766,341.92,339.084,94.619,163.9
Cash at end of period,422.089,412.821,341.92,339.084,94.619
Capital Expenditure,-31.188,-29.475,-7.554,-33.904,-96.194
Free Cash Flow,-1797,-1424,-1033,-1117,-1044
