Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-44506,-166441,-84374,-27573,-38171
Sales/Maturities of investments,84890,117300,168769,33317,31370
Net cash used for investing activites,40384,-49141,84395,5745,-6801
Common stock issued,-,-,-,-,14107
Common stock repurchased,-32392,-13163,-3218,-,-1406
Dividends Paid,-4744,-4741,-3681,-3530,-3061
Other financing activites,-85.896,-33.733,-8.245,-,-
Net cash used privided by (used for) financing activities,-38351,-17938,-6907,-3530,9640
Net change in cash,1994,-68868,74796,-599.989,-30.868
Cash at beginning of period,5142,77310,1999,2610,2496
Cash at end of period,7137,8558,77310,1999,2610
Free Cash Flow,-39.19,-1789,-2691,-2815,-2870
