Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-327600,-327600,-475600,-407600,-292500
Purchases of investments,-105400,-105400,-76500,-183900,-29300
Net cash used for investing activites,-433000,-433000,-552100,-591500,-321800
Debt repayment,-250000,-250000,-1517100,-185000,-110000
Common stock issued,-,-,489400,-,-
Common stock repurchased,-6700,-6700,-,-,-
Dividends Paid,-215600,-215600,-132100,-123900,-94900
Other financing activites,-500,-500,102500,-,-
Net cash used privided by (used for) financing activities,25600,25600,151600,72900,-93700
Net change in cash,4000,4000,-3400,-45300,-37600
Cash at beginning of period,110300,110300,113700,159000,196600
Cash at end of period,114300,114300,110300,113700,159000
Capital Expenditure,-327600,-327600,-475600,-407600,-292500
Free Cash Flow,83800,83800,-78500,65700,85400
