Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-66.01,-11.958,-,-,-
Net cash used for investing activites,-66.01,-11.958,-,-,-
Common stock issued,-,-,3329,-,-
Common stock repurchased,-,-,-1224,-,-
Other financing activites,-,-,45.397,-,50
Net cash used privided by (used for) financing activities,-,-,2150,-,50
Net change in cash,-387.486,-428.552,2008,-58.837,10.268
Cash at beginning of period,1786,2023,15.207,74.044,63.776
Cash at end of period,1399,1594,2023,15.207,74.044
Capital Expenditure,-66.01,-11.958,-,-,-
Free Cash Flow,-387.486,-428.552,-142.527,-58.837,-39.732
