Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-7.735,-1.851,-,-
Acquisitions net,-,-,15.55,-,-
Purchases of investments,-2,-2,-2,-,-
Sales/Maturities of investments,-,-,2.673,-,1.65
Other investing activites,-,-,-,-32.123,-731.878
Net cash used for investing activites,252.434,-9.735,14.372,-32.123,-730.228
Common stock issued,7558,7052,2426,-,555.85
Common stock repurchased,-,-333.792,-140.119,-14.289,-4.096
Net cash used privided by (used for) financing activities,7210,6719,2286,-14.289,551.754
Net change in cash,-1016,893.897,1642,-341.416,-572.26
Cash at beginning of period,1917,1690,47.621,389.037,911.2
Cash at end of period,901.566,2583,1690,47.621,389.037
Capital Expenditure,-,-7.735,-1.851,-,-
Free Cash Flow,-8486,-5823,-660.132,-295.004,-393.786
