Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5546000,5496000,5929000,3445000
Depreciation & amortization,-,19004000,18857000,18621000
Change in working capital,-,-9482000,-1114000,-848000
Inventory,-,-7185000,-2667000,2240000
Other working capital,-,1412000,15087000,7634000
Other non-cash items,-,3506000,3936000,6245000
Net cash provided by operating activites,-,19020000,28336000,23544000
Investments in property plant and equipment,-,-17608000,-13249000,-15910000
Acquisitions net,-,-975000,-,-
Purchases of investments,-,-2344000,-543000,-1304000
Sales/Maturities of investments,-,225000,296000,439000
Other investing activites,-,-1308000,-89000,-604000
Net cash used for investing activites,-,-22946000,-13475000,-14106000
Net change in cash,-,2560000,999000,1219000
Cash at beginning of period,-,14327000,13328000,11690000
Cash at end of period,-,16888000,14327000,13328000
Operating Cash Flow,-,19020000,28336000,23544000
Capital Expenditure,-,-17608000,-13249000,-15910000
Free Cash Flow,-,1412000,15087000,7634000
