Breakdown,ttm,8/31/2019,8/31/2018
Net Income,3706748,3706748,3488745
Depreciation & amortization,1711110,1711110,543714
Change in working capital,368715,368715,-357322
Inventory,24947,24947,11486
Other working capital,4908886,4908886,2469443
Other non-cash items,15121,15121,112966
Net cash provided by operating activites,5321537,5321537,2876029
Investments in property plant and equipment,-412651,-412651,-406586
Purchases of investments,-8897,-8897,-11176
Sales/Maturities of investments,0,0,2908
Other investing activites,-15344,-15344,-23354
Net cash used for investing activites,-418929,-418929,-16640105
Net change in cash,-958655,-958655,78192
Cash at beginning of period,6308728,6308728,6230535
Cash at end of period,5350073,5350073,6308728
Operating Cash Flow,5321537,5321537,2876029
Capital Expenditure,-412651,-412651,-406586
Free Cash Flow,4908886,4908886,2469443
