Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-69.013,-264.776,-23.862,-14.567,-19.22
Acquisitions net,-,-1476,-591.757,-,5332
Net cash used for investing activites,-7307,-1741,-615.619,-14.567,5313
Debt repayment,-,-60.662,-,-5.104,-41.992
Common stock issued,-,-,-,225,682.5
Net cash used privided by (used for) financing activities,15827,31.353,-,219.896,640.508
Net change in cash,8838,281.504,-2441,-314.094,3324
Cash at beginning of period,1324,2890,5331,5645,2321
Cash at end of period,10163,3172,2890,5331,5645
Capital Expenditure,-69.013,-264.776,-23.862,-14.567,-19.22
Free Cash Flow,249.594,1726,-1849,-533.99,-2648
