Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,27243,28843,36678,48267
Depreciation & amortization,-,7041,8500,5099
Change in working capital,-,-7649,59310,-8783
Inventory,-,-704,47918,-5573
Other working capital,2266,-53504,68713,7549
Other non-cash items,-,-3379,-4322,-2646
Net cash provided by operating activites,53756,6572,72880,7954
Investments in property plant and equipment,-51490,-60076,-4167,-405
Acquisitions net,-35888,-13894,-,-
Purchases of investments,-,-60236,-,-351
Sales/Maturities of investments,57345,0,-,0
Other investing activites,-,-,3471,-
Net cash used for investing activites,-88860,-129863,3719,2066
Net change in cash,-38668,-132486,76599,10020
Cash at beginning of period,355559,440437,331606,343587
Cash at end of period,316891,278814,440437,331606
Operating Cash Flow,53756,6572,72880,7954
Capital Expenditure,-51490,-60076,-4167,-405
Free Cash Flow,2266,-53504,68713,7549
