Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1868000,1792000,1561000,1497000
Depreciation & amortization,-,493000,487000,425000
Stock based compensation,-,44000,45000,40000
Change in working capital,-,543000,675000,-1042000
Inventory,-,-10000,-100000,129000
Other working capital,-,2283000,2224000,900000
Other non-cash items,-,11000,21000,20000
Net cash provided by operating activites,-,2655000,2898000,1154000
Investments in property plant and equipment,-,-372000,-674000,-254000
Acquisitions net,-,-,-,-14000
Purchases of investments,-,-31000,-27000,-26000
Sales/Maturities of investments,-,1000,6000,2000
Other investing activites,-,127000,-38000,-48000
Net cash used for investing activites,-,-127000,-715000,-303000
Net change in cash,-,1155000,726000,-658000
Cash at beginning of period,-,5672000,4896000,5555000
Cash at end of period,-,6828000,5672000,4896000
Operating Cash Flow,-,2655000,2898000,1154000
Capital Expenditure,-,-372000,-674000,-254000
Free Cash Flow,-,2283000,2224000,900000
