Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-2495,-1885,-579.296
Sales/Maturities of investments,-,-,-,293.684
Other investing activites,-,-2485,-1794,-0.043
Net cash used for investing activites,-1897,-2495,-1885,-285.655
Common stock issued,-,-,1926,6373
Other financing activites,-,-,1926,49.973
Net cash used privided by (used for) financing activities,-,-,1926,6423
Net change in cash,717.414,-3574,-915.374,5315
Cash at beginning of period,2814,4829,5754,456.181
Cash at end of period,3532,1244,4829,5754
Capital Expenditure,-,-2495,-1885,-579.296
Free Cash Flow,-3506,-3574,-2841,-1402
