Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-220896,-297499,-270791,128325
Depreciation & amortization,-,63035,24432,25016
Stock based compensation,-,20941,24084,-
Change in working capital,-,5716,42552,-69551
Inventory,-,17036,-30915,37178
Other working capital,-,-225063,-193570,35248
Other non-cash items,-,24446,-8862,-204
Net cash provided by operating activites,-,-159534,-187197,44828
Investments in property plant and equipment,-,-65529,-6373,-9580
Acquisitions net,-,-,-444363,-
Other investing activites,-,904,-875,108409
Net cash used for investing activites,-,-64625,-451611,98829
Net change in cash,-,-276248,-702369,144245
Cash at beginning of period,-,932937,1635306,1491060
Cash at end of period,-,656689,932937,1635306
Operating Cash Flow,-,-159534,-187197,44828
Capital Expenditure,-,-65529,-6373,-9580
Free Cash Flow,-,-225063,-193570,35248
