Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,156379,218994,46940,23558
Depreciation & amortization,-,123475,137286,132783
Change in working capital,-,229450,-181522,223064
Inventory,-,-18353,-39578,97400
Other working capital,-,530286,-19751,374487
Other non-cash items,-,18203,18722,7681
Net cash provided by operating activites,-,604654,25676,416393
Investments in property plant and equipment,-,-74368,-45427,-41906
Purchases of investments,-,-664178,-393031,-8348
Sales/Maturities of investments,-,454738,310822,-
Other investing activites,-,93,-84,-80808
Net cash used for investing activites,-,-280120,-96495,-124252
Net change in cash,-,376838,76843,7632
Cash at beginning of period,-,176842,99998,92365
Cash at end of period,-,553680,176842,99998
Operating Cash Flow,-,604654,25676,416393
Capital Expenditure,-,-74368,-45427,-41906
Free Cash Flow,-,530286,-19751,374487
