Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,12981,12981,12505,12444
Interest Expense,3843,3843,3145,1820
Income Before Tax,-268,-268,1313,1613
Income Tax Expense,-189,-189,232.262,701
Income from Continuing Operations,-79,-79,1081,912
Net Income,-79,-79,1081,912
Net Income available to common shareholders,-79,-79,1081,912
Basic EPS,-,-,0.40,0.34
Diluted EPS,-,-,0.40,0.34
Basic Average Shares,-,-,2677,2677
Diluted Average Shares,-,-,2677,2677
