Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,20411667,19728435,17518292,14860237
Liabilities,,,,
Total Liabilities,17559214,17038865,15363895,13045820
Stockholders' Equity,,,,
Common Stock,169616,175141,152040,135159
Retained Earnings,682185,527684,413130,390292
Accumulated other comprehensive income,56207,-44950,-50272,-59372
Total stockholders' equity,2852453,2689570,2154397,1814417
Total liabilities and stockholders' equity,20411667,19728435,17518292,14860237
