Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,646142,221122,215201,156580
Liabilities,,,,
Total Liabilities,545706,196556,194994,139712
Stockholders' Equity,,,,
Common Stock,96568,24280,19786,15684
Retained Earnings,2794,-716.025,-309.326,673.666
Accumulated other comprehensive income,1074,1001,730.822,510.1
Total stockholders' equity,100436,24566,20207,16868
Total liabilities and stockholders' equity,646142,221122,215201,156580
