Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1013272,1030493,1026290,954640
Liabilities,,,,
Total Liabilities,885093,912619,916929,850112
Stockholders' Equity,,,,
Common Stock,5447,5400,5362,5326
Retained Earnings,86751,80844,72694,69117
Accumulated other comprehensive income,528,-2135,-878,-991
Total stockholders' equity,128179,117874,109361,104528
Total liabilities and stockholders' equity,1013272,1030493,1026290,954640
