Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,19654,10245,7870,14738,19571
Income Before Tax,17711,8368,7958,17728,17409
Income Tax Expense,3882,1655,2923,4701,3913
Income from Continuing Operations,13829,6713,5035,13027,13496
Net Income,13829,6713,5035,13027,13496
Net Income available to common shareholders,13829,6713,5035,13027,13496
Basic EPS,-,0.03,0.03,0.08,0.12
Diluted EPS,-,0.03,0.03,0.08,0.12
Basic Average Shares,-,205088,197670,154439,110926
Diluted Average Shares,-,205088,197670,154439,110926
