Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-1620000,-1620000,610932,438034,267445
Depreciation & amortization,824000,824000,357438,49287,33390
Change in working capital,1054000,1054000,-499936,283071,196911
Other working capital,-170000,-170000,-134025,779604,436775
Other non-cash items,-232000,-232000,-645824,-588,29200
Net cash provided by operating activites,60000,60000,145939,817707,474458
Investments in property plant and equipment,-230000,-230000,-279964,-38103,-37683
Acquisitions net,-43000,-43000,-6166245,-272311,-
Purchases of investments,-473000,-473000,-218011,-272311,-
Other investing activites,-105000,-105000,72055,-237271,-2091
Net cash used for investing activites,-851000,-851000,-6592165,-547685,-40773
Net change in cash,2480000,2480000,2508388,121172,1826944
Cash at beginning of period,5725000,5725000,3217254,3096081,1269136
Cash at end of period,7954000,7954000,5725643,3217254,3096081
Operating Cash Flow,60000,60000,145939,817707,474458
Capital Expenditure,-230000,-230000,-279964,-38103,-37683
Free Cash Flow,-170000,-170000,-134025,779604,436775
