Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,23642000,31157000,30433000,21916000
Depreciation & amortization,-,68000,94000,106000
Change in working capital,-134000,-4120000,-8866000,-164000
Inventory,-6177000,-9960000,-3685000,4269000
Other working capital,24033000,3824000,-1794000,6330000
Other non-cash items,-,-201000,-119000,270000
Net cash provided by operating activites,24033000,3824000,-1794000,6330000
Investments in property plant and equipment,-,-,-,-3414000
Acquisitions net,-,-16960000,-793000,-162000
Purchases of investments,-,-628000,-759000,-6835000
Sales/Maturities of investments,2220000,2118000,2464000,115000
Other investing activites,1561000,-1819000,-,-5053000
Net cash used for investing activites,-12139000,-7339000,-6308000,523000
Net change in cash,3894000,-7247000,6978000,5002000
Cash at beginning of period,9487000,20828000,12839000,8465000
Cash at end of period,13381000,12899000,20864000,12839000
Operating Cash Flow,24033000,3824000,-1794000,6330000
Capital Expenditure,-,-,-,-3414000
Free Cash Flow,24033000,3824000,-1794000,6330000
