Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-908,-439,-1723,-982
Other investing activites,-,-,-48,-79
Net cash used for investing activites,-517,-437,-1658,-916
Debt repayment,-,-168,-539,-240
Common stock issued,-,2000,-,-
Dividends Paid,-,-,-,-4915
Other financing activites,-,-,-27,30
Net cash used privided by (used for) financing activities,1187,1832,-566,-5125
Net change in cash,4802,6775,-6420,-1101
Cash at beginning of period,5866,6134,12603,14165
Cash at end of period,10668,12830,6134,12603
Capital Expenditure,-908,-439,-1723,-982
Free Cash Flow,3224,4941,-5919,3958
