Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1028006,935767,964329,908557
Depreciation & amortization,-,804169,744949,723603
Change in working capital,-,-25672,191366,-160351
Inventory,-,820,2377,39493
Other working capital,-,237319,1511194,810808
Other non-cash items,-,140862,143895,70089
Net cash provided by operating activites,-,1872475,2029932,1578419
Investments in property plant and equipment,-,-1635156,-518738,-767611
Purchases of investments,-,-1275629,-2322,-2193
Sales/Maturities of investments,-,1284000,-,-
Other investing activites,-,16348,-66518,-36108
Net cash used for investing activites,-,-1610437,-587578,-805912
Net change in cash,-,585003,410788,384600
Cash at beginning of period,-,2604820,2194032,1809431
Cash at end of period,-,3189823,2604820,2194032
Operating Cash Flow,-,1872475,2029932,1578419
Capital Expenditure,-,-1635156,-518738,-767611
Free Cash Flow,-,237319,1511194,810808
