Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1886545,1807480,1709205,1611587
Liabilities,,,,
Total Liabilities,1695377,1628734,1544986,1456630
Stockholders' Equity,,,,
Common Stock,24390,23629,22265,21067
Retained Earnings,25019,22837,22860,28909
Accumulated other comprehensive income,1309,-2226,-958,-1121
Total stockholders' equity,191168,178746,164219,154957
Total liabilities and stockholders' equity,1886545,1807480,1709205,1611587
