Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,258.162,-315.483,-2334,-2984,-1659
Acquisitions net,-,-,-,-,-843.055
Purchases of investments,-,-,-,-459.175,-
Other investing activites,-,-,31.364,-,-
Net cash used for investing activites,-1144,-315.483,-2303,-3383,-2392
Debt repayment,-155.736,-2020,-51.305,-47.154,-356.424
Common stock issued,-,-,-,5683,7511
Net cash used privided by (used for) financing activities,3393,3825,21.876,6786,7283
Net change in cash,-1127,1942,-2613,1346,2615
Cash at beginning of period,3350,1364,3978,2632,16.844
Cash at end of period,2223,3306,1364,3978,2632
Capital Expenditure,258.162,-315.483,-2334,-2984,-1659
Free Cash Flow,-3118,-1883,-2667,-5042,-3936
