Attribute,Value
Previous Close,49.74
Open,50.62
Bid,50.00 x 0
Ask,51.27 x 0
Day's Range,50.55 - 51.21
52 Week Range,41.45 - 66.21
Volume,89130
Avg. Volume,35917
Net Assets,503.35M
NAV,49.82
PE Ratio (TTM),
Yield,5.68%
YTD Daily Total Return,-16.81%
Beta (5Y Monthly),0.98
Expense Ratio (net),0.00%
Inception Date,2001-08-24
