Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2977000,4797000,11309000,8553000
Depreciation & amortization,-,1394000,1592000,1568000
Change in working capital,-,-32251000,49783000,71336000
Other working capital,-,-32699000,48317000,73398000
Other non-cash items,-,-25692000,-8662000,23821000
Net cash provided by operating activites,-,-31415000,49118000,75281000
Investments in property plant and equipment,-,-1284000,-801000,-1883000
Purchases of investments,-,-144209000,-165531000,-137990000
Sales/Maturities of investments,-,89126000,164410000,141513000
Other investing activites,-,-1000,-14000,-2000
Net cash used for investing activites,-,-54868000,-1936000,1663000
Net change in cash,-,-110574000,45620000,75726000
Cash at beginning of period,-,275878000,230257000,154531000
Cash at end of period,-,165303000,275878000,230257000
Operating Cash Flow,-,-31415000,49118000,75281000
Capital Expenditure,-,-1284000,-801000,-1883000
Free Cash Flow,-,-32699000,48317000,73398000
