Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3451000,3604000,4573000,5199000
Depreciation & amortization,-,2021000,2022000,1906000
Change in working capital,-,-1667000,234000,-317000
Inventory,-,-127000,-366000,242000
Other working capital,-,1926000,3850000,4808000
Other non-cash items,-,42000,-676000,-1037000
Net cash provided by operating activites,-,4358000,5315000,6133000
Investments in property plant and equipment,-,-2432000,-1465000,-1325000
Purchases of investments,-,-188000,-19000,-294000
Sales/Maturities of investments,-,176000,686000,509000
Other investing activites,-,-39000,334000,-437000
Net cash used for investing activites,-,-2470000,-398000,637000
Net change in cash,-,1448000,303000,880000
Cash at beginning of period,-,4256000,3953000,3072000
Cash at end of period,-,5704000,4256000,3953000
Operating Cash Flow,-,4358000,5315000,6133000
Capital Expenditure,-,-2432000,-1465000,-1325000
Free Cash Flow,-,1926000,3850000,4808000
