Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,6/30/2017,6/30/2016
Investments in property plant and equipment,-109.749,-109.749,-3133,-,-,-71.641
Purchases of investments,-,-,-,-101.783,-,-
Sales/Maturities of investments,-,-,17.136,-,-,-
Other investing activites,-,-,17.136,-,-,-
Net cash used for investing activites,-109.749,-109.749,-3116,-101.783,-,-71.641
Debt repayment,-141.371,-141.371,-1189,-1836,-424.555,-
Common stock issued,20400,20400,9599,-,15205,12205
Common stock repurchased,-516.209,-516.209,-643.44,-,-1079,-1872
Net cash used privided by (used for) financing activities,19743,19743,7707,-2118,13271,10332
Net change in cash,6953,6953,1089,-2276,2775,1662
Cash at beginning of period,3102,3102,2020,4391,1871,253.058
Cash at end of period,10122,10122,3102,2020,4391,1871
Capital Expenditure,-109.749,-109.749,-3133,-,-,-71.641
Free Cash Flow,-12790,-12790,-6635,-57.108,-10495,-8671
