Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,1053141,729625,547021
Liabilities,,,
Total Liabilities,973839,649944,489429
Stockholders' Equity,,,
Common Stock,60,59,48
Retained Earnings,6451,4115,2009
Accumulated other comprehensive income,-73,-425,-202
Total stockholders' equity,79302,79681,57592
Total liabilities and stockholders' equity,1053141,729625,547021
