Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,108875,-63552,31904,104027
Depreciation & amortization,-,89644,31948,39375
Change in working capital,-,-5167,-22754,3874
Other working capital,-,126892,-204049,158235
Other non-cash items,-,41875,-19718,-7267
Net cash provided by operating activites,-,143776,-41508,185850
Investments in property plant and equipment,-,-16884,-162541,-27615
Purchases of investments,-,-386250,-44176,-
Sales/Maturities of investments,-,178509,-,-
Other investing activites,-,4270,17099,-114709
Net cash used for investing activites,-,-219714,-186440,-142324
Net change in cash,-,-31199,-219815,510969
Cash at beginning of period,-,1228820,1448635,937665
Cash at end of period,-,1197620,1228820,1448635
Operating Cash Flow,-,143776,-41508,185850
Capital Expenditure,-,-16884,-162541,-27615
Free Cash Flow,-,126892,-204049,158235
