Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,27298000,17163000,16622000,13876000
Depreciation & amortization,-,33693000,32381000,31044000
Change in working capital,-,-5545000,-10224000,-4601000
Inventory,-,-3117000,-5388000,-1444000
Other working capital,-,11824000,-5919000,16027000
Other non-cash items,-,5290000,3990000,2353000
Net cash provided by operating activites,-,50857000,31249000,42003000
Investments in property plant and equipment,-,-39033000,-37168000,-25976000
Acquisitions net,-,-1446000,-1717000,-16296000
Purchases of investments,-,-1514000,-931000,-936000
Sales/Maturities of investments,-,385000,6439000,2349000
Other investing activites,-,-265000,709000,918000
Net cash used for investing activites,-,-38685000,-28658000,-36884000
Net change in cash,-,2661000,-468000,6872000
Cash at beginning of period,-,26943000,26643000,19417000
Cash at end of period,-,29604000,26943000,26643000
Operating Cash Flow,-,50857000,31249000,42003000
Capital Expenditure,-,-39033000,-37168000,-25976000
Free Cash Flow,-,11824000,-5919000,16027000
