Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3776,-3776,-3736,-1895,-2052
Purchases of investments,-309,-309,-1129,-4762,-3656
Sales/Maturities of investments,325,325,975,-,-
Other investing activites,-,-,-,66,1108
Net cash used for investing activites,-3760,-3760,-3890,-6591,-4600
Debt repayment,-,-,-,-,-22481
Dividends Paid,-25335,-25335,-19873,-22478,-22083
Net cash used privided by (used for) financing activities,-39581,-39581,25727,12689,144
Net change in cash,-10250,-10250,15292,6703,-189
Cash at beginning of period,23692,23692,8400,1697,1886
Cash at end of period,13442,13442,23692,8400,1697
Capital Expenditure,-3776,-3776,-3736,-1895,-2052
Free Cash Flow,29315,29315,-10281,-1290,2215
