Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Investments in property plant and equipment,-3395,-7611,-5451,-4446
Acquisitions net,-,-,-1701,-
Other investing activites,46,18,-4,-7
Net cash used for investing activites,-3334,-6940,-6953,-4258
Debt repayment,-3084,-11548,-19899,-30314
Dividends Paid,-,-2638,-,-
Other financing activites,-1359,-1108,-1340,-4
Net cash used privided by (used for) financing activities,8637,-9737,-10326,499
Net change in cash,-5131,4352,38,1719
Cash at beginning of period,7551,1475,1437,-282
Cash at end of period,2420,5827,1475,1437
Capital Expenditure,-3395,-7611,-5451,-4446
Free Cash Flow,-13829,13418,11866,1032
