Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-993.371,-1273,-2904,-3640
Acquisitions net,-,-,-,-194.687,-14.089
Purchases of investments,-,-1511,-174.819,-136.437,-30
Sales/Maturities of investments,-,999.052,540.283,683.067,201.27
Other investing activites,-,-3.854,-0.001,-98.233,306.75
Net cash used for investing activites,-,-1505,-789.36,-2608,-3037
Debt repayment,-,-282.658,384.759,-,-
Common stock issued,-,2610,3684,1333,3795
Common stock repurchased,-,-37.35,-,-,-
Net cash used privided by (used for) financing activities,1174,4435,4134,1333,4227
Net change in cash,-802.95,-805.416,-94.765,-4505,-3431
Cash at beginning of period,906.592,1016,1110,5615,9034
Cash at end of period,103.642,210.106,1016,1110,5615
Capital Expenditure,-,-993.371,-1273,-2904,-3640
Free Cash Flow,-2570,-4729,-4713,-6133,-8262
