Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Investments in property plant and equipment,-3828,-3828,-3287,-6666,-7468
Other investing activites,-468,-468,-285,107,310
Net cash used for investing activites,1714,1714,-2556,-6547,-7139
Debt repayment,-153,-153,-197,-3582,-604
Common stock issued,-,-,6656,3961,1075
Common stock repurchased,-,-,-165,-,-49
Other financing activites,-262,-262,-,146,-330
Net cash used privided by (used for) financing activities,2085,2085,6294,525,4092
Net change in cash,1973,1973,959,179,-1427
Cash at beginning of period,1847,1847,888,709,2136
Cash at end of period,3820,3820,1847,888,709
Capital Expenditure,-3828,-3828,-3287,-6666,-7468
Free Cash Flow,-5654,-5654,-6066,-465,-5848
