Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-12475,-15410,-6222,-12007,-4468
Other investing activites,-,-,-,-,136.0086
Net cash used for investing activites,2802,-15410,-6183,-12005,-4179
Debt repayment,-15585,-13826,-,-,-10741
Other financing activites,16670,5997,-22339,-8977,40.3986
Net cash used privided by (used for) financing activities,-3057,-7828,-1268,8878,-4204
Net change in cash,2633,-4105,1762,-1335,-4628
Cash at beginning of period,5220,11668,9310,10281,14585
Cash at end of period,7853,7563,11072,8946,9957
Capital Expenditure,-12475,-15410,-6222,-12007,-4468
Free Cash Flow,-9587,3723,2990,-10216,-713.7086
