Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-699.945,-1132,-838.031,-452.88,-130.092
Net cash used for investing activites,-699.945,-1132,-838.031,-452.88,-130.092
Common stock issued,1321,1321,-,1673,-
Common stock repurchased,-34.504,-21.225,-,-72.163,-
Net cash used privided by (used for) financing activities,1287,1300,-,1601,-
Net change in cash,163.892,-208.968,-1254,741.374,-566.46
Cash at beginning of period,1021,742.854,1997,1255,1822
Cash at end of period,1184,533.886,742.854,1997,1255
Capital Expenditure,-699.945,-1132,-838.031,-452.88,-130.092
Free Cash Flow,-1123,-1509,-1254,-859.676,-566.46
