Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,188000,188000,160000,366000,311000
Depreciation & amortization,-,75000,93000,84000,95000
Change in working capital,-277000,-277000,-2250000,-312000,415000
Other working capital,220000,220000,-2490000,-90000,865000
Other non-cash items,51000,51000,-32000,-106000,-28000
Net cash provided by operating activites,247000,247000,-2359000,-27000,927000
Investments in property plant and equipment,-27000,-,-,-,-
Acquisitions net,-,-,-87000,-151000,-6000
Purchases of investments,-,-,-1300000,-1404000,-900000
Sales/Maturities of investments,-,392000,641000,1616000,1350000
Other investing activites,9000,9000,12000,32000,206000
Net cash used for investing activites,374000,374000,-829000,89000,709000
Net change in cash,483000,483000,-3327000,-243000,1287000
Cash at beginning of period,7750000,7750000,11077000,11319000,10032000
Operating Cash Flow,247000,247000,-2359000,-27000,927000
Capital Expenditure,-27000,-,-,-,-
Free Cash Flow,220000,220000,-2490000,-90000,865000
