Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,8627510000,8718097000,8649396000
Liabilities,,,
Total Liabilities,8138433000,8227360000,8181201000
Stockholders' Equity,,,
Common Stock,24658000,24658000,24658000
Retained Earnings,346926000,332619000,317655000
Total stockholders' equity,489077000,490736000,468194000
Total liabilities and stockholders' equity,8627510000,8718097000,8649396000
