Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,458921,212767,144276,318962
Depreciation & amortization,-,274353,275333,312528
Change in working capital,-,-150569,117244,-79250
Inventory,-,49337,-101206,176217
Other working capital,-,333004,369929,443337
Other non-cash items,-,144621,2356,151457
Net cash provided by operating activites,-,609916,507648,655995
Investments in property plant and equipment,-,-276912,-137719,-212658
Purchases of investments,-,-1681824,-1562141,-11943
Sales/Maturities of investments,-,1213406,883198,419681
Other investing activites,-,1,-9,-18
Net cash used for investing activites,-,-434789,-546091,195662
Net change in cash,-,-593052,-47164,219885
Cash at beginning of period,-,2315713,2317823,2097938
Cash at end of period,-,1722660,2315713,2317823
Operating Cash Flow,-,609916,507648,655995
Capital Expenditure,-,-276912,-137719,-212658
Free Cash Flow,-,333004,369929,443337
