Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,263822,263822,439278,505994,536866
Interest Expense,88216,88216,68223,43245,29488
Income Before Tax,48708,48708,45865,66189,90777
Income Tax Expense,7988,7988,5838,-2757,32626
Income from Continuing Operations,40720,40720,40027,68946,58151
Net Income,17512,17512,40027,68946,58151
Net Income available to common shareholders,17512,17512,40027,68946,58151
Basic EPS,-,-,1.48,2.57,2.36
Diluted EPS,-,-,1.47,2.54,2.34
Basic Average Shares,-,-,26971,26865,24616
Diluted Average Shares,-,-,27168,27092,24844
