Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,192960,192960,136292,109529,97132
Interest Expense,53370,53370,29644,15770,10914
Income Before Tax,66386,66386,45257,26379,32405
Income Tax Expense,13427,13427,7948,8747,9554
Income from Continuing Operations,52959,52959,37309,17632,22851
Net Income,52959,52959,37309,17632,22851
Net Income available to common shareholders,52959,52959,37309,17632,22851
Basic EPS,-,-,2.41,1.34,1.78
Diluted EPS,-,-,2.37,1.31,1.75
Basic Average Shares,-,-,15485,13125,12873
Diluted Average Shares,-,-,15773,13458,13074
