Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-1162589,-194116,-213474,36153
Depreciation & amortization,-,258860,247050,206946
Change in working capital,-,-38960,71961,38500
Other working capital,-,-66868,-62212,-128213
Other non-cash items,-,6865,4565,-30180
Net cash provided by operating activites,-,62153,147507,229484
Investments in property plant and equipment,-,-129021,-209719,-357697
Sales/Maturities of investments,-,37653,-,49977
Other investing activites,-,8583,-1263,12749
Net cash used for investing activites,-,-62785,-209313,-294971
Net change in cash,-,-131930,-192027,-195912
Cash at beginning of period,-,1103891,1295919,1491832
Cash at end of period,-,971961,1103891,1295919
Operating Cash Flow,-,62153,147507,229484
Capital Expenditure,-,-129021,-209719,-357697
Free Cash Flow,-,-66868,-62212,-128213
