Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,814000,784000,1175000,1902898
Depreciation & amortization,-,380000,388000,405039
Change in working capital,-,-11000,-441000,-516835
Inventory,-,115000,-576000,-261477
Other working capital,-,997000,341000,626389
Other non-cash items,-,92000,-2000,-75425
Net cash provided by operating activites,-,1364000,865000,1095997
Investments in property plant and equipment,-,-367000,-524000,-469608
Acquisitions net,-,-9950000,-,-
Purchases of investments,-,-355000,-150000,-1366859
Sales/Maturities of investments,-,100000,1118000,15327889
Other investing activites,-,-12000,-1019000,-4000001
Net cash used for investing activites,-,-10527000,362000,11694098
Net change in cash,-,-10094000,298000,11861588
Cash at beginning of period,-,15029000,14731000,2869660
Cash at end of period,-,4935000,15029000,14731248
Operating Cash Flow,-,1364000,865000,1095997
Capital Expenditure,-,-367000,-524000,-469608
Free Cash Flow,-,997000,341000,626389
