Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2910000,2599000,1806000,1931000
Depreciation & amortization,-,4190000,3886000,3730000
Change in working capital,-,5657000,-1532000,66000
Inventory,-,-154000,-395000,826000
Other working capital,-,4774000,785000,3539000
Other non-cash items,-,-2776000,223000,-780000
Net cash provided by operating activites,-,9786000,4674000,8373000
Investments in property plant and equipment,-,-5012000,-3889000,-4834000
Acquisitions net,-,-68000,-,-
Purchases of investments,-,-2251000,-239000,0
Sales/Maturities of investments,-,-,289000,783000
Other investing activites,-,-,2000,13000
Net cash used for investing activites,-,-7147000,-3582000,-4004000
Net change in cash,-,733000,-394000,4270000
Cash at beginning of period,-,13254000,13648000,9378000
Cash at end of period,-,13988000,13254000,13648000
Operating Cash Flow,-,9786000,4674000,8373000
Capital Expenditure,-,-5012000,-3889000,-4834000
Free Cash Flow,-,4774000,785000,3539000
