Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-19945000,-16015000,1179000,-2371000
Depreciation & amortization,-,3509000,3554000,3278000
Change in working capital,-,-2352000,-3701000,1614000
Inventory,-,-1213000,-2206000,671000
Other working capital,-,-608000,-2856000,216000
Other non-cash items,-,-62000,849000,1201000
Net cash provided by operating activites,-,1213000,-154000,4807000
Investments in property plant and equipment,-,-1821000,-2702000,-4591000
Acquisitions net,-,-478000,-1675000,-
Purchases of investments,-,-449000,-1108000,-600000
Sales/Maturities of investments,-,989000,368000,800000
Other investing activites,-,-1180000,1684000,7653000
Net cash used for investing activites,-,-2153000,-680000,3646000
Net change in cash,-,-4862000,-4305000,6086000
Cash at beginning of period,-,37716000,41841000,35463000
Cash at end of period,-,32854000,37716000,41841000
Operating Cash Flow,-,1213000,-154000,4807000
Capital Expenditure,-,-1821000,-2702000,-4591000
Free Cash Flow,-,-608000,-2856000,216000
