Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1166256,864349,703345,446316
Depreciation & amortization,-,483254,497063,553478
Change in working capital,-,-298909,-362940,-29200
Inventory,-,-658895,-15252,513007
Other working capital,-,514305,515045,468019
Other non-cash items,-,13152,-27042,43036
Net cash provided by operating activites,-,1044593,860967,1082860
Investments in property plant and equipment,-,-530288,-345922,-614841
Purchases of investments,-,-219494,-,-2101
Sales/Maturities of investments,-,-,1833,37754
Other investing activites,-,-1,504744,-469001
Net cash used for investing activites,-,-642135,228648,-983250
Net change in cash,-,-70522,-84511,149729
Cash at beginning of period,-,2063810,2148321,1998592
Cash at end of period,-,1993287,2063810,2148321
Operating Cash Flow,-,1044593,860967,1082860
Capital Expenditure,-,-530288,-345922,-614841
Free Cash Flow,-,514305,515045,468019
