Breakdown,10/31/2019,10/31/2018,10/31/2017,10/31/2016
Total Assets,762657,813516,846351,936596
Liabilities,,,,
Total Liabilities,85864,98204,85980,87579
Stockholders' Equity,,,,
Common Stock,18474,19296,19867,24086
Total stockholders' equity,676793,715312,760371,849017
Total liabilities and stockholders' equity,762657,813516,846351,936596
