Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,141000,104000,125000,355307
Depreciation & amortization,-,889000,658000,632116
Change in working capital,-,55000,-156000,-514044
Inventory,-,-421000,-339000,-54325
Other working capital,-,-1364000,-1600000,-1423341
Other non-cash items,-,-823000,61000,73979
Net cash provided by operating activites,-,656000,687000,486083
Investments in property plant and equipment,-,-2020000,-2287000,-1909424
Sales/Maturities of investments,-,325000,-,43793
Other investing activites,-,658000,53000,44457
Net cash used for investing activites,-,-1035000,-2234000,-1706767
Net change in cash,-,437000,-375000,-4532
Cash at beginning of period,-,894000,1269000,1274517
Cash at end of period,-,1331000,894000,1269984
Operating Cash Flow,-,656000,687000,486083
Capital Expenditure,-,-2020000,-2287000,-1909424
Free Cash Flow,-,-1364000,-1600000,-1423341
