Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-,-2587,-,-,-
Other investing activites,-,-750,10.45,30.308,-
Net cash used for investing activites,-11822,-3337,899.431,44.043,32.957
Debt repayment,-,-77.58,-126.411,-3013,-1020
Common stock issued,11103,6156,3331,7715,2271
Common stock repurchased,-584.668,-54.732,-361.179,-475.298,-227.468
Other financing activites,-,-,1872,-,-370.339
Net cash used privided by (used for) financing activities,27613,12616,4715,4542,4540
Net change in cash,5413,2353,12.528,-343.142,-1365
Cash at beginning of period,39.701,46.431,33.903,377.045,1742
Cash at end of period,5453,2399,46.431,33.903,377.045
Free Cash Flow,-10390,-6927,-4702,-4929,-5938
