Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,28625,27845,27214,23275,15494
Interest Expense,20787,19289,10137,5266,3326
Income Before Tax,12306,11680,10765,3719,3979
Income Tax Expense,2287,2150,3701,941,1259
Income from Continuing Operations,10019,9530,7064,2778,2720
Net Income,10019,9530,7064,2778,2720
Net Income available to common shareholders,10019,9530,7064,2778,2720
Basic EPS,-,1.09,0.80,0.33,0.37
Diluted EPS,-,1.07,0.78,0.32,0.36
Basic Average Shares,-,8743,8830,8418,7351
Diluted Average Shares,-,8907,9056,8681,7556
