Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,74405,80259,68794,154163
Depreciation & amortization,-,149394,152001,149552
Change in working capital,-,-17552,159392,61369
Inventory,-,-47263,207648,109989
Other working capital,246736,258886,392492,162241
Other non-cash items,-,-20309,-18982,-37701
Net cash provided by operating activites,271555,282109,422449,311996
Investments in property plant and equipment,-24819,-23223,-29957,-149755
Acquisitions net,-,0,-31224,0
Purchases of investments,-,-322883,-80000,0
Sales/Maturities of investments,157684,7414,3566,100856
Other investing activites,10000,129300,241700,52434
Net cash used for investing activites,-15952,-209392,104085,4607
Net change in cash,144570,-146104,259260,6995
Cash at beginning of period,368794,376902,119016,110784
Cash at end of period,513364,232001,376902,119016
Operating Cash Flow,271555,282109,422449,311996
Capital Expenditure,-24819,-23223,-29957,-149755
Free Cash Flow,246736,258886,392492,162241
