Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-863.908,-1381,-1268
Purchases of investments,-,-,-286.36
Other investing activites,-,-,-286.36
Net cash used for investing activites,-837.367,-1374,-1554
Debt repayment,-,-,-1660
Common stock issued,4763,1708,10533
Common stock repurchased,-251.285,-95.6,-355.47
Other financing activites,-,-95.44,-1829
Net cash used privided by (used for) financing activities,6502,3517,8349
Net change in cash,2347,-2088,2815
Cash at beginning of period,2289,3560,767.19
Cash at end of period,4636,1446,3560
Capital Expenditure,-863.908,-1381,-1268
Free Cash Flow,-4181,-5611,-5248
