Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,1623000,1471000,1291000,635000
Depreciation & amortization,-,1533000,1380000,1730000
Change in working capital,-,-324000,476000,402000
Inventory,-,-881000,-259000,-315000
Other working capital,-,1524000,1185000,101000
Other non-cash items,-,80000,108000,114000
Net cash provided by operating activites,-,3063000,3585000,2357000
Investments in property plant and equipment,-,-1539000,-2400000,-2256000
Acquisitions net,-,-490000,-252000,0
Purchases of investments,-,-32000,-1000,-1000
Sales/Maturities of investments,-,8000,8000,26000
Other investing activites,-,-38000,-240000,-254000
Net cash used for investing activites,-,-1965000,-2764000,-2533000
Net change in cash,-,-214000,1229000,155000
Cash at beginning of period,-,8564000,7335000,7410000
Cash at end of period,-,8350000,8564000,7335000
Operating Cash Flow,-,3063000,3585000,2357000
Capital Expenditure,-,-1539000,-2400000,-2256000
Free Cash Flow,-,1524000,1185000,101000
