Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,70190,367649,249359,87281
Depreciation & amortization,-,790601,496679,391769
Change in working capital,-,-348673,-462185,123969
Inventory,-,-7028,-56233,-333418
Other working capital,-,278566,-755715,-351634
Other non-cash items,-,26023,-127481,-134508
Net cash provided by operating activites,-,964538,443192,924375
Investments in property plant and equipment,-,-685972,-1198907,-1276009
Purchases of investments,-,-110164,-1021,-60816
Sales/Maturities of investments,-,79312,49299,-
Other investing activites,-,31933,-3925,13824
Net cash used for investing activites,-,-639415,-1146878,-1322348
Net change in cash,-,6975,-651265,942576
Cash at beginning of period,-,1907445,2558710,1616134
Cash at end of period,-,1914420,1907445,2558710
Operating Cash Flow,-,964538,443192,924375
Capital Expenditure,-,-685972,-1198907,-1276009
Free Cash Flow,-,278566,-755715,-351634
