Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5770000,6354000,5579000,5190000
Depreciation & amortization,-,4864000,4483000,4506000
Change in working capital,-,-6135000,3721000,7736000
Inventory,-,-8713000,2173000,4683000
Other working capital,-,-4709000,9524000,5786000
Other non-cash items,-,-405000,1074000,-585000
Net cash provided by operating activites,-,4533000,15223000,16581000
Investments in property plant and equipment,-,-9242000,-5699000,-10795000
Purchases of investments,-,-39000,-,-42000
Sales/Maturities of investments,-,-,-,225000
Other investing activites,-,-1146000,-624000,95000
Net cash used for investing activites,-,-10427000,-6230000,-10412000
Net change in cash,-,7000,857000,37000
Cash at beginning of period,-,4381000,3523000,3486000
Cash at end of period,-,4389000,4381000,3523000
Operating Cash Flow,-,4533000,15223000,16581000
Capital Expenditure,-,-9242000,-5699000,-10795000
Free Cash Flow,-,-4709000,9524000,5786000
