Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1119,-1028,-3573,-1551,-1748
Other investing activites,-,13500,-,-,-
Net cash used for investing activites,12269,12472,-3573,-1551,-1748
Common stock issued,-,-,6000,-,-
Common stock repurchased,-,-,-479.384,-,-
Other financing activites,-,-600,1686,-,-
Net cash used privided by (used for) financing activities,-,-600,7206,-,-
Net change in cash,22165,14881,-210.014,-2990,-2786
Cash at beginning of period,8416,1088,1298,4289,7075
Cash at end of period,30580,15970,1088,1298,4289
Capital Expenditure,-1119,-1028,-3573,-1551,-1748
Free Cash Flow,12686,1981,-7417,-2990,-2786
