Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,84203,79950,181721,115897
Depreciation & amortization,-,49978,21639,14778
Change in working capital,-,-373027,483094,163239
Inventory,-,-273,5420,-1246
Other working capital,-,-150482,693029,306724
Other non-cash items,-,-8825,37971,6160
Net cash provided by operating activites,-,-138173,721833,328563
Investments in property plant and equipment,-,-12309,-28804,-21839
Acquisitions net,-,-219440,-30000,-
Purchases of investments,-,-5200,-22048,-43100
Sales/Maturities of investments,-,1176,13610,-
Other investing activites,-,-1,-44357,-1316
Net cash used for investing activites,-,-219108,-102679,-91255
Net change in cash,-,-393231,1307673,237308
Cash at beginning of period,-,1948642,640969,403660
Cash at end of period,-,1555257,1948642,640969
Operating Cash Flow,-,-138173,721833,328563
Capital Expenditure,-,-12309,-28804,-21839
Free Cash Flow,-,-150482,693029,306724
