Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,821813,501087,553297,377308
Depreciation & amortization,-,568409,607784,602388
Change in working capital,-,-50863,-434815,-154199
Inventory,-,70980,-99491,235668
Other working capital,-,916708,117941,535581
Other non-cash items,-,125536,75620,59926
Net cash provided by operating activites,-,1277056,598825,803625
Investments in property plant and equipment,-,-360348,-480884,-268044
Acquisitions net,-,-2800,-,-
Purchases of investments,-,-796524,-3160,-6470
Sales/Maturities of investments,-,715103,-,-
Other investing activites,-,14263,2287,-24276
Net cash used for investing activites,-,-425099,-470948,-296872
Net change in cash,-,53302,-250231,549355
Cash at beginning of period,-,2518575,2768806,2219450
Cash at end of period,-,2571877,2518575,2768806
Operating Cash Flow,-,1277056,598825,803625
Capital Expenditure,-,-360348,-480884,-268044
Free Cash Flow,-,916708,117941,535581
