Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-18.439,-36.91,-55.497,-2.105
Net cash used for investing activites,-18.439,-36.91,-55.497,29.531
Common stock issued,-,-,82.183,-
Common stock repurchased,-,-,-1.838,-
Net cash used privided by (used for) financing activities,80,80,80.345,200
Net change in cash,-3.267,-48.225,-82.563,63.449
Cash at beginning of period,31.678,72.578,155.141,91.692
Cash at end of period,28.411,24.353,72.578,155.141
Capital Expenditure,-18.439,-36.91,-55.497,-2.105
Free Cash Flow,-83.267,-128.225,-162.908,-168.187
